worst-asset P95 metrics vs satellite failures (minutes)
config,k_failed,n_trials,revisit_med,revisit_p10,revisit_p90,latency_med,latency_p10,latency_p90,dropfrac_mean,dropfrac_max
C3,0,1,12.51,12.51,12.51,619.62,619.62,619.62,0.0011,0.0011
C3,1,24,12.93,12.91,12.95,620.19,620.10,620.27,0.0011,0.0017
C3,2,276,25.49,25.46,25.52,620.84,620.63,620.96,0.0012,0.0020
C3,3,200,25.89,25.83,26.09,621.61,621.35,621.87,0.0012,0.0024
C3,4,200,26.32,26.15,27.72,622.54,622.24,622.81,0.0013,0.0027
C3,5,200,28.17,26.64,28.99,623.40,623.14,623.78,0.0014,0.0029
C3,6,200,29.22,27.08,42.40,624.29,623.91,624.75,0.0015,0.0033
C3,7,200,42.29,29.05,43.89,625.24,624.71,625.94,0.0015,0.0033
C3,8,200,42.62,41.01,57.21,626.23,625.59,627.26,0.0017,0.0034
C4,0,1,8.65,8.65,8.65,622.05,622.05,622.05,0.0016,0.0016
C4,1,32,9.45,9.45,9.46,622.35,622.33,622.39,0.0016,0.0018
C4,2,496,16.99,16.99,17.00,622.66,622.62,622.70,0.0016,0.0021
C4,3,200,17.40,17.21,17.49,622.97,622.89,623.05,0.0017,0.0023
C4,4,200,17.92,17.81,18.34,623.29,623.20,623.38,0.0017,0.0023
C4,5,200,18.80,18.15,19.34,623.60,623.50,623.72,0.0017,0.0028
C4,6,200,19.58,18.53,29.59,623.93,623.82,624.08,0.0018,0.0028
C4,7,200,20.53,19.99,29.76,624.26,624.15,624.43,0.0018,0.0026
C4,8,200,20.98,20.59,30.23,624.65,624.49,624.89,0.0018,0.0029
