all values in minutes
config,asset,metric,network,P50,P95,max,n_samples
SSO,AST_EEZ_EAST,revisit,-,9.16,139.19,152.95,1533
SSO,AST_EEZ_EAST,latency,sovereign,11.20,123.67,152.82,47520
SSO,AST_EEZ_EAST,latency,global,11.20,123.67,152.82,47520
SSO,AST_EEZ_WEST,revisit,-,9.16,139.21,152.95,1534
SSO,AST_EEZ_WEST,latency,sovereign,72.11,607.32,621.02,47301
SSO,AST_EEZ_WEST,latency,global,56.77,131.15,152.81,47428
SSO,AST_Ladakh,revisit,-,9.15,144.76,158.85,1797
SSO,AST_Ladakh,latency,sovereign,13.25,540.96,694.84,47466
SSO,AST_Ladakh,latency,global,13.36,139.97,219.05,47504
SSO,AST_Siachen,revisit,-,9.15,143.92,158.04,1836
SSO,AST_Siachen,latency,sovereign,20.35,601.43,694.84,47446
SSO,AST_Siachen,latency,global,20.48,140.63,219.05,47502
SSO,AST_Tawang,revisit,-,9.15,147.46,161.68,1678
SSO,AST_Tawang,latency,sovereign,20.90,153.91,185.18,47508
SSO,AST_Tawang,latency,global,20.90,134.55,165.12,47508
C1,AST_EEZ_EAST,revisit,-,8.87,211.79,212.50,1631
C1,AST_EEZ_EAST,latency,sovereign,6.51,187.19,212.26,47335
C1,AST_EEZ_EAST,latency,global,6.51,187.19,212.26,47335
C1,AST_EEZ_WEST,revisit,-,8.88,211.77,212.58,1637
C1,AST_EEZ_WEST,latency,sovereign,26.90,625.77,633.22,47334
C1,AST_EEZ_WEST,latency,global,22.64,187.09,213.14,47445
C1,AST_Ladakh,revisit,-,8.92,9.43,9.49,2834
C1,AST_Ladakh,latency,sovereign,2.53,10.66,96.91,47510
C1,AST_Ladakh,latency,global,2.53,10.67,50.99,47514
C1,AST_Siachen,revisit,-,8.88,9.49,9.80,2834
C1,AST_Siachen,latency,sovereign,2.77,10.67,96.91,47511
C1,AST_Siachen,latency,global,2.77,10.67,50.99,47515
C1,AST_Tawang,revisit,-,9.96,12.55,12.75,2834
C1,AST_Tawang,latency,sovereign,4.43,94.23,96.91,47499
C1,AST_Tawang,latency,global,4.43,49.13,58.35,47509
C2,AST_EEZ_EAST,revisit,-,8.09,17.65,18.17,3239
C2,AST_EEZ_EAST,latency,sovereign,1.02,12.40,91.59,47520
C2,AST_EEZ_EAST,latency,global,1.02,12.40,22.98,47520
C2,AST_EEZ_WEST,revisit,-,8.09,17.65,18.17,3238
C2,AST_EEZ_WEST,latency,sovereign,5.58,628.62,641.47,47420
C2,AST_EEZ_WEST,latency,global,5.60,32.42,45.13,47514
C2,AST_Ladakh,revisit,-,3.39,9.98,10.06,3179
C2,AST_Ladakh,latency,sovereign,0.00,11.42,96.92,47516
C2,AST_Ladakh,latency,global,0.00,11.42,50.99,47517
C2,AST_Siachen,revisit,-,3.60,9.73,9.83,3237
C2,AST_Siachen,latency,sovereign,0.26,11.22,96.92,47517
C2,AST_Siachen,latency,global,0.26,11.22,50.99,47518
C2,AST_Tawang,revisit,-,3.54,12.16,12.21,3858
C2,AST_Tawang,latency,sovereign,0.89,94.66,96.92,47501
C2,AST_Tawang,latency,global,0.89,49.49,58.31,47511
C3,AST_EEZ_EAST,revisit,-,9.11,12.05,13.43,2949
C3,AST_EEZ_EAST,latency,sovereign,1.32,8.71,13.30,47512
C3,AST_EEZ_EAST,latency,global,1.32,8.71,13.30,47512
C3,AST_EEZ_WEST,revisit,-,9.10,12.08,13.56,2945
C3,AST_EEZ_WEST,latency,sovereign,5.61,619.62,633.14,47470
C3,AST_EEZ_WEST,latency,global,5.61,23.62,36.89,47513
C3,AST_Ladakh,revisit,-,2.36,9.43,9.49,3706
C3,AST_Ladakh,latency,sovereign,0.00,11.39,96.91,47519
C3,AST_Ladakh,latency,global,0.00,11.39,50.99,47519
C3,AST_Siachen,revisit,-,3.42,9.04,9.08,3439
C3,AST_Siachen,latency,sovereign,0.23,11.15,96.91,47520
C3,AST_Siachen,latency,global,0.23,11.15,50.99,47520
C3,AST_Tawang,revisit,-,2.02,12.51,12.75,4413
C3,AST_Tawang,latency,sovereign,0.64,94.66,96.91,47495
C3,AST_Tawang,latency,global,0.65,49.49,58.33,47513
C4,AST_EEZ_EAST,revisit,-,5.22,8.65,12.44,3908
C4,AST_EEZ_EAST,latency,sovereign,0.00,5.47,91.78,47513
C4,AST_EEZ_EAST,latency,global,0.00,5.47,23.00,47513
C4,AST_EEZ_WEST,revisit,-,5.21,8.59,12.43,3907
C4,AST_EEZ_WEST,latency,sovereign,3.84,622.05,629.12,47446
C4,AST_EEZ_WEST,latency,global,3.85,25.87,33.24,47519
C4,AST_Ladakh,revisit,-,4.53,5.25,5.29,3768
C4,AST_Ladakh,latency,sovereign,0.29,94.56,96.91,47520
C4,AST_Ladakh,latency,global,0.29,49.56,50.99,47520
C4,AST_Siachen,revisit,-,4.54,4.86,4.89,3768
C4,AST_Siachen,latency,sovereign,0.42,7.58,96.91,47520
C4,AST_Siachen,latency,global,0.42,7.58,50.99,47520
C4,AST_Tawang,revisit,-,5.35,8.37,8.54,3768
C4,AST_Tawang,latency,sovereign,2.15,94.83,96.91,47501
C4,AST_Tawang,latency,global,2.16,49.57,58.41,47517

config,GS-contact-gap network,P50,P95,max
SSO,sovereign,5.50,57.50,90.61
SSO,global,1.24,5.16,5.86
C1,sovereign,7.77,13.22,13.47
C1,global,0.00,0.00,0.00
C2,sovereign,3.63,4.12,4.31
C2,global,0.00,0.00,0.00
C3,sovereign,2.08,3.40,3.64
C3,global,0.00,0.00,0.00
C4,sovereign,1.94,3.46,3.67
C4,global,0.00,0.00,0.00

config,asset,dropped_no_coverage,dropped_no_sovereign_dlv,dropped_no_global_dlv
SSO,AST_EEZ_EAST,0,0,0
SSO,AST_EEZ_WEST,92,127,0
SSO,AST_Ladakh,6,48,10
SSO,AST_Siachen,6,68,12
SSO,AST_Tawang,9,3,3
C1,AST_EEZ_EAST,185,0,0
C1,AST_EEZ_WEST,75,111,0
C1,AST_Ladakh,2,8,4
C1,AST_Siachen,2,7,3
C1,AST_Tawang,0,21,11
C2,AST_EEZ_EAST,0,0,0
C2,AST_EEZ_WEST,0,100,6
C2,AST_Ladakh,0,4,3
C2,AST_Siachen,0,3,2
C2,AST_Tawang,0,19,9
C3,AST_EEZ_EAST,8,0,0
C3,AST_EEZ_WEST,7,43,0
C3,AST_Ladakh,0,1,1
C3,AST_Siachen,0,0,0
C3,AST_Tawang,0,25,7
C4,AST_EEZ_EAST,7,0,0
C4,AST_EEZ_WEST,1,73,0
C4,AST_Ladakh,0,0,0
C4,AST_Siachen,0,0,0
C4,AST_Tawang,0,19,3
