"Coverage Properties"
"LatLon Region Coverage                                             "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 0.5000 (deg)                                           "
"Number of Points: 10206                                            "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"    Constellation/C1:    Active                                    "
"        Satellite/C1_P1_S1:    Active                              "
"        Satellite/C1_P1_S2:    Active                              "
"        Satellite/C1_P1_S3:    Active                              "
"        Satellite/C1_P1_S4:    Active                              "
"        Satellite/C1_P1_S5:    Active                              "
"        Satellite/C1_P1_S6:    Active                              "
"        Satellite/C1_P2_S1:    Active                              "
"        Satellite/C1_P2_S2:    Active                              "
"        Satellite/C1_P2_S3:    Active                              "
"        Satellite/C1_P2_S4:    Active                              "
"        Satellite/C1_P2_S5:    Active                              "
"        Satellite/C1_P2_S6:    Active                              "
"        Satellite/C1_P3_S1:    Active                              "
"        Satellite/C1_P3_S2:    Active                              "
"        Satellite/C1_P3_S3:    Active                              "
"        Satellite/C1_P3_S4:    Active                              "
"        Satellite/C1_P3_S5:    Active                              "
"        Satellite/C1_P3_S6:    Active                              "
"Access Interval: 1 Jul 2026 00:00:00.000 to 3 Aug 2026 00:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "


"FOM Properties"
"Maximum Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "


"Latitude (deg)","Longitude (deg)","FOM Value (min)"
-39.753,60.324,16.661
-39.753,60.972,16.628
-39.753,61.620,16.648
-39.753,62.269,16.641
-39.753,62.917,16.650
-39.753,63.565,16.652
-39.753,64.213,16.650
-39.753,64.861,16.662
-39.753,65.509,16.649
-39.753,66.157,16.650
-39.753,66.806,16.653
-39.753,67.454,16.650
-39.753,68.102,16.652
-39.753,68.750,16.659
-39.753,69.398,16.651
-39.753,70.046,16.648
-39.753,70.694,16.648
-39.753,71.343,16.650
-39.753,71.991,16.644
-39.753,72.639,16.659
-39.753,73.287,16.638
-39.753,73.935,16.666
-39.753,74.583,16.631
-39.753,75.231,16.651
-39.753,75.880,16.622
-39.753,76.528,16.660
-39.753,77.176,16.640
-39.753,77.824,16.667
-39.753,78.472,16.642
-39.753,79.120,16.649
-39.753,79.769,16.624
-39.753,80.417,16.662
-39.753,81.065,16.627
-39.753,81.713,16.669
-39.753,82.361,16.639
-39.753,83.009,16.651
-39.753,83.657,16.650
-39.753,84.306,16.651
-39.753,84.954,16.660
-39.753,85.602,16.650
-39.753,86.250,16.668
-39.753,86.898,16.647
-39.753,87.546,16.652
-39.753,88.194,16.643
-39.753,88.843,16.658
-39.753,89.491,16.652
-39.753,90.139,16.666
-39.753,90.787,16.649
-39.753,91.435,16.650
-39.753,92.083,16.645
-39.753,92.731,16.659
-39.753,93.380,16.639
-39.753,94.028,16.666
-39.753,94.676,16.632
-39.259,60.324,13.114
-39.259,60.972,13.220
-39.259,61.620,13.178
-39.259,62.269,13.238
-39.259,62.917,13.184
-39.259,63.565,13.255
-39.259,64.213,13.204
-39.259,64.861,13.291
-39.259,65.509,13.232
-39.259,66.157,13.270
-39.259,66.806,13.262
-39.259,67.454,13.247
-39.259,68.102,13.296
-39.259,68.750,13.223
-39.259,69.398,13.327
-39.259,70.046,13.202
-39.259,70.694,13.244
-39.259,71.343,13.205
-39.259,71.991,13.231
-39.259,72.639,13.142
-39.259,73.287,13.231
-39.259,73.935,13.112
-39.259,74.583,13.234
-39.259,75.231,13.263
-39.259,75.880,13.255
-39.259,76.528,13.233
-39.259,77.176,13.274
-39.259,77.824,13.202
-39.259,78.472,13.295
-39.259,79.120,13.227
-39.259,79.769,13.256
-39.259,80.417,13.245
-39.259,81.065,13.236
-39.259,81.713,13.112
-39.259,82.361,13.216
-39.259,83.009,13.136
-39.259,83.657,13.214
-39.259,84.306,13.213
-39.259,84.954,13.245
-39.259,85.602,13.202
-39.259,86.250,13.245
-39.259,86.898,13.221
-39.259,87.546,13.288
-39.259,88.194,13.254
-39.259,88.843,13.264
-39.259,89.491,13.285
-39.259,90.139,13.238
-39.259,90.787,13.289
-39.259,91.435,13.210
-39.259,92.083,13.271
-39.259,92.731,13.181
-39.259,93.380,13.257
-39.259,94.028,13.192
-39.259,94.676,13.240
-38.765,60.324,12.309
-38.765,60.972,12.320
-38.765,61.620,12.323
-38.765,62.269,12.312
-38.765,62.917,12.383
-38.765,63.565,12.305
-38.765,64.213,12.369
-38.765,64.861,12.300
-38.765,65.509,12.361
-38.765,66.157,12.320
-38.765,66.806,12.372
-38.765,67.454,12.367
-38.765,68.102,12.318
-38.765,68.750,12.358
-38.765,69.398,12.298
-38.765,70.046,12.380
-38.765,70.694,12.309
-38.765,71.343,12.402
-38.765,71.991,12.351
-38.765,72.639,12.311
-38.765,73.287,12.360
-38.765,73.935,12.317
-38.765,74.583,12.340
-38.765,75.231,12.401
-38.765,75.880,12.318
-38.765,76.528,12.373
-38.765,77.176,12.294
-38.765,77.824,12.361
-38.765,78.472,12.291
-38.765,79.120,12.372
-38.765,79.769,12.313
-38.765,80.417,12.385
-38.765,81.065,12.335
-38.765,81.713,12.317
-38.765,82.361,12.342
-38.765,83.009,12.310
-38.765,83.657,12.368
-38.765,84.306,12.322
-38.765,84.954,12.322
-38.765,85.602,12.380
-38.765,86.250,12.313
-38.765,86.898,12.363
-38.765,87.546,12.313
-38.765,88.194,12.355
-38.765,88.843,12.385
-38.765,89.491,12.325
-38.765,90.139,12.376
-38.765,90.787,12.305
-38.765,91.435,12.374
-38.765,92.083,12.305
-38.765,92.731,12.394
-38.765,93.380,12.311
-38.765,94.028,12.325
-38.765,94.676,12.317
-38.272,60.324,11.671
-38.272,60.972,11.734
-38.272,61.620,11.681
-38.272,62.269,11.709
-38.272,62.917,11.680
-38.272,63.565,11.696
-38.272,64.213,11.720
-38.272,64.861,11.685
-38.272,65.509,11.714
-38.272,66.157,11.695
-38.272,66.806,11.706
-38.272,67.454,11.704
-38.272,68.102,11.684
-38.272,68.750,11.714
-38.272,69.398,11.683
-38.272,70.046,11.722
-38.272,70.694,11.698
-38.272,71.343,11.699
-38.272,71.991,11.747
-38.272,72.639,11.682
-38.272,73.287,11.730
-38.272,73.935,11.673
-38.272,74.583,11.747
-38.272,75.231,11.692
