"Coverage Properties"
"LatLon Region Coverage                                             "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 0.5000 (deg)                                           "
"Number of Points: 10206                                            "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"    Constellation/C2:    Active                                    "
"        Satellite/C2_P1_S1:    Active                              "
"        Satellite/C2_P1_S2:    Active                              "
"        Satellite/C2_P1_S3:    Active                              "
"        Satellite/C2_P1_S4:    Active                              "
"        Satellite/C2_P2_S1:    Active                              "
"        Satellite/C2_P2_S2:    Active                              "
"        Satellite/C2_P2_S3:    Active                              "
"        Satellite/C2_P2_S4:    Active                              "
"        Satellite/C2_P3_S1:    Active                              "
"        Satellite/C2_P3_S2:    Active                              "
"        Satellite/C2_P3_S3:    Active                              "
"        Satellite/C2_P3_S4:    Active                              "
"        Satellite/C2_P4_S1:    Active                              "
"        Satellite/C2_P4_S2:    Active                              "
"        Satellite/C2_P4_S3:    Active                              "
"        Satellite/C2_P4_S4:    Active                              "
"        Satellite/C2_P5_S1:    Active                              "
"        Satellite/C2_P5_S2:    Active                              "
"        Satellite/C2_P5_S3:    Active                              "
"        Satellite/C2_P5_S4:    Active                              "
"        Satellite/C2_P6_S1:    Active                              "
"        Satellite/C2_P6_S2:    Active                              "
"        Satellite/C2_P6_S3:    Active                              "
"        Satellite/C2_P6_S4:    Active                              "
"Access Interval: 1 Jul 2026 00:00:00.000 to 3 Aug 2026 00:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "


"FOM Properties"
"Maximum Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "


"Latitude (deg)","Longitude (deg)","FOM Value (min)"
-39.753,60.324,11.037
-39.753,60.972,11.109
-39.753,61.620,11.123
-39.753,62.269,11.076
-39.753,62.917,11.115
-39.753,63.565,11.054
-39.753,64.213,11.118
-39.753,64.861,11.110
-39.753,65.509,11.092
-39.753,66.157,11.095
-39.753,66.806,11.075
-39.753,67.454,11.137
-39.753,68.102,11.096
-39.753,68.750,11.115
-39.753,69.398,11.075
-39.753,70.046,11.097
-39.753,70.694,11.087
-39.753,71.343,11.068
-39.753,71.991,11.113
-39.753,72.639,11.066
-39.753,73.287,11.122
-39.753,73.935,11.073
-39.753,74.583,11.127
-39.753,75.231,11.064
-39.753,75.880,11.085
-39.753,76.528,11.098
-39.753,77.176,11.079
-39.753,77.824,11.139
-39.753,78.472,11.042
-39.753,79.120,11.103
-39.753,79.769,11.074
-39.753,80.417,11.071
-39.753,81.065,11.120
-39.753,81.713,11.049
-39.753,82.361,11.112
-39.753,83.009,11.115
-39.753,83.657,11.086
-39.753,84.306,11.100
-39.753,84.954,11.070
-39.753,85.602,11.131
-39.753,86.250,11.101
-39.753,86.898,11.112
-39.753,87.546,11.080
-39.753,88.194,11.091
-39.753,88.843,11.092
-39.753,89.491,11.063
-39.753,90.139,11.107
-39.753,90.787,11.061
-39.753,91.435,11.112
-39.753,92.083,11.078
-39.753,92.731,11.075
-39.753,93.380,11.134
-39.753,94.028,11.080
-39.753,94.676,11.103
-39.259,60.324,10.548
-39.259,60.972,10.521
-39.259,61.620,10.563
-39.259,62.269,10.558
-39.259,62.917,10.549
-39.259,63.565,10.557
-39.259,64.213,10.514
-39.259,64.861,10.554
-39.259,65.509,10.566
-39.259,66.157,10.537
-39.259,66.806,10.555
-39.259,67.454,10.519
-39.259,68.102,10.545
-39.259,68.750,10.545
-39.259,69.398,10.532
-39.259,70.046,10.557
-39.259,70.694,10.549
-39.259,71.343,10.535
-39.259,71.991,10.543
-39.259,72.639,10.537
-39.259,73.287,10.570
-39.259,73.935,10.539
-39.259,74.583,10.526
-39.259,75.231,10.562
