"Coverage Properties"
"LatLon Region Coverage                                             "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 0.5000 (deg)                                           "
"Number of Points: 10206                                            "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"    Constellation/C4:    Active                                    "
"        Satellite/C4_P1_S1:    Active                              "
"        Satellite/C4_P1_S2:    Active                              "
"        Satellite/C4_P1_S3:    Active                              "
"        Satellite/C4_P1_S4:    Active                              "
"        Satellite/C4_P1_S5:    Active                              "
"        Satellite/C4_P1_S6:    Active                              "
"        Satellite/C4_P1_S7:    Active                              "
"        Satellite/C4_P1_S8:    Active                              "
"        Satellite/C4_P2_S1:    Active                              "
"        Satellite/C4_P2_S2:    Active                              "
"        Satellite/C4_P2_S3:    Active                              "
"        Satellite/C4_P2_S4:    Active                              "
"        Satellite/C4_P2_S5:    Active                              "
"        Satellite/C4_P2_S6:    Active                              "
"        Satellite/C4_P2_S7:    Active                              "
"        Satellite/C4_P2_S8:    Active                              "
"        Satellite/C4_P3_S1:    Active                              "
"        Satellite/C4_P3_S2:    Active                              "
"        Satellite/C4_P3_S3:    Active                              "
"        Satellite/C4_P3_S4:    Active                              "
"        Satellite/C4_P3_S5:    Active                              "
"        Satellite/C4_P3_S6:    Active                              "
"        Satellite/C4_P3_S7:    Active                              "
"        Satellite/C4_P3_S8:    Active                              "
"        Satellite/C4_P4_S1:    Active                              "
"        Satellite/C4_P4_S2:    Active                              "
"        Satellite/C4_P4_S3:    Active                              "
"        Satellite/C4_P4_S4:    Active                              "
"        Satellite/C4_P4_S5:    Active                              "
"        Satellite/C4_P4_S6:    Active                              "
"        Satellite/C4_P4_S7:    Active                              "
"        Satellite/C4_P4_S8:    Active                              "
"Access Interval: 1 Jul 2026 00:00:00.000 to 3 Aug 2026 00:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "


"FOM Properties"
"Maximum Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "


"Latitude (deg)","Longitude (deg)","FOM Value (min)"
-39.753,60.324,4.566
-39.753,60.972,4.567
-39.753,61.620,4.568
-39.753,62.269,4.566
-39.753,62.917,4.571
-39.753,63.565,4.566
-39.753,64.213,4.562
-39.753,64.861,4.570
-39.753,65.509,4.568
-39.753,66.157,4.572
-39.753,66.806,4.567
-39.753,67.454,4.567
-39.753,68.102,4.568
-39.753,68.750,4.570
-39.753,69.398,4.565
-39.753,70.046,4.567
-39.753,70.694,4.568
-39.753,71.343,4.566
-39.753,71.991,4.571
-39.753,72.639,4.566
-39.753,73.287,4.562
-39.753,73.935,4.570
-39.753,74.583,4.568
-39.753,75.231,4.572
-39.753,75.880,4.567
-39.753,76.528,4.567
-39.753,77.176,4.568
-39.753,77.824,4.569
-39.753,78.472,4.565
-39.753,79.120,4.567
-39.753,79.769,4.568
-39.753,80.417,4.565
-39.753,81.065,4.571
-39.753,81.713,4.566
-39.753,82.361,4.562
-39.753,83.009,4.570
-39.753,83.657,4.567
-39.753,84.306,4.572
-39.753,84.954,4.567
-39.753,85.602,4.567
-39.753,86.250,4.568
-39.753,86.898,4.569
-39.753,87.546,4.565
-39.753,88.194,4.567
-39.753,88.843,4.567
-39.753,89.491,4.565
-39.753,90.139,4.571
-39.753,90.787,4.566
-39.753,91.435,4.562
-39.753,92.083,4.570
-39.753,92.731,4.567
-39.753,93.380,4.572
-39.753,94.028,4.567
-39.753,94.676,4.567
-39.259,60.324,4.499
-39.259,60.972,4.496
-39.259,61.620,4.497
-39.259,62.269,4.494
-39.259,62.917,4.495
-39.259,63.565,4.493
-39.259,64.213,4.497
-39.259,64.861,4.492
-39.259,65.509,4.492
-39.259,66.157,4.497
-39.259,66.806,4.494
-39.259,67.454,4.497
-39.259,68.102,4.489
-39.259,68.750,4.493
-39.259,69.398,4.499
-39.259,70.046,4.495
-39.259,70.694,4.497
-39.259,71.343,4.494
-39.259,71.991,4.495
-39.259,72.639,4.493
-39.259,73.287,4.497
-39.259,73.935,4.492
-39.259,74.583,4.492
-39.259,75.231,4.497
-39.259,75.880,4.494
-39.259,76.528,4.497
-39.259,77.176,4.492
-39.259,77.824,4.493
-39.259,78.472,4.498
-39.259,79.120,4.495
-39.259,79.769,4.497
-39.259,80.417,4.494
-39.259,81.065,4.495
-39.259,81.713,4.493
-39.259,82.361,4.497
-39.259,83.009,4.492
-39.259,83.657,4.492
-39.259,84.306,4.497
-39.259,84.954,4.494
