"Coverage Properties"
"LatLon Region Coverage                                             "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 0.5000 (deg)                                           "
"Number of Points: 10206                                            "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"    Constellation/SSO:    Active                                   "
"        Satellite/R_SSO_P1_S1:    Active                           "
"        Satellite/R_SSO_P1_S2:    Active                           "
"        Satellite/R_SSO_P1_S3:    Active                           "
"        Satellite/R_SSO_P1_S4:    Active                           "
"        Satellite/R_SSO_P1_S5:    Active                           "
"        Satellite/R_SSO_P1_S6:    Active                           "
"        Satellite/R_SSO_P2_S1:    Active                           "
"        Satellite/R_SSO_P2_S2:    Active                           "
"        Satellite/R_SSO_P2_S3:    Active                           "
"        Satellite/R_SSO_P2_S4:    Active                           "
"        Satellite/R_SSO_P2_S5:    Active                           "
"        Satellite/R_SSO_P2_S6:    Active                           "
"        Satellite/R_SSO_P3_S1:    Active                           "
"        Satellite/R_SSO_P3_S2:    Active                           "
"        Satellite/R_SSO_P3_S3:    Active                           "
"        Satellite/R_SSO_P3_S4:    Active                           "
"        Satellite/R_SSO_P3_S5:    Active                           "
"        Satellite/R_SSO_P3_S6:    Active                           "
"Access Interval: 1 Jul 2026 00:00:00.000 to 3 Aug 2026 00:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "


"FOM Properties"
"Maximum Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "


"Latitude (deg)","Longitude (deg)","FOM Value (min)"
-39.753,60.324,155.751
-39.753,60.972,155.756
-39.753,61.620,155.764
-39.753,62.269,155.771
-39.753,62.917,155.783
-39.753,63.565,155.782
-39.753,64.213,155.781
-39.753,64.861,155.773
-39.753,65.509,155.781
-39.753,66.157,155.765
-39.753,66.806,155.765
-39.753,67.454,155.764
-39.753,68.102,155.765
-39.753,68.750,155.747
-39.753,69.398,155.754
-39.753,70.046,155.762
-39.753,70.694,155.769
-39.753,71.343,155.779
-39.753,71.991,155.782
-39.753,72.639,155.778
-39.753,73.287,155.776
-39.753,73.935,155.779
-39.753,74.583,155.761
-39.753,75.231,155.761
-39.753,75.880,155.761
-39.753,76.528,155.764
-39.753,77.176,155.770
-39.753,77.824,155.751
-39.753,78.472,155.790
-39.753,79.120,155.768
-39.753,79.769,155.775
-39.753,80.417,155.782
-39.753,81.065,155.788
-39.753,81.713,155.773
-39.753,82.361,155.777
-39.753,83.009,155.757
-39.753,83.657,155.758
-39.753,84.306,155.758
-39.753,84.954,155.763
-39.753,85.602,155.770
-39.753,86.250,155.756
-39.753,86.898,155.787
-39.753,87.546,155.786
-39.753,88.194,155.773
-39.753,88.843,155.781
-39.753,89.491,155.787
-39.753,90.139,155.770
-39.753,90.787,155.775
-39.753,91.435,155.768
-39.753,92.083,155.753
-39.753,92.731,155.754
-39.753,93.380,155.762
-39.753,94.028,155.769
-39.753,94.676,155.775
-39.259,60.324,156.006
-39.259,60.972,156.010
-39.259,61.620,156.017
-39.259,62.269,156.024
-39.259,62.917,156.030
-39.259,63.565,156.036
-39.259,64.213,156.035
-39.259,64.861,156.027
-39.259,65.509,156.035
-39.259,66.157,156.019
-39.259,66.806,156.019
-39.259,67.454,156.018
-39.259,68.102,156.019
-39.259,68.750,156.001
-39.259,69.398,156.007
-39.259,70.046,156.015
-39.259,70.694,156.023
-39.259,71.343,156.030
-39.259,71.991,156.036
-39.259,72.639,156.032
-39.259,73.287,156.030
-39.259,73.935,156.033
-39.259,74.583,156.015
-39.259,75.231,156.015
-39.259,75.880,156.015
-39.259,76.528,156.018
-39.259,77.176,156.024
-39.259,77.824,156.004
-39.259,78.472,156.013
-39.259,79.120,156.021
-39.259,79.769,156.029
-39.259,80.417,156.035
-39.259,81.065,156.041
-39.259,81.713,156.027
-39.259,82.361,156.031
-39.259,83.009,156.011
-39.259,83.657,156.012
-39.259,84.306,156.012
-39.259,84.954,156.017
-39.259,85.602,156.023
-39.259,86.250,156.010
-39.259,86.898,156.041
-39.259,87.546,156.040
-39.259,88.194,156.027
-39.259,88.843,156.034
-39.259,89.491,156.041
-39.259,90.139,156.024
-39.259,90.787,156.028
-39.259,91.435,156.022
-39.259,92.083,156.008
-39.259,92.731,156.008
-39.259,93.380,156.015
-39.259,94.028,156.022
-39.259,94.676,156.028
-38.765,60.324,156.258
-38.765,60.972,156.262
-38.765,61.620,156.269
-38.765,62.269,156.276
-38.765,62.917,156.283
-38.765,63.565,156.289
-38.765,64.213,156.287
-38.765,64.861,156.279
-38.765,65.509,156.287
-38.765,66.157,156.272
-38.765,66.806,156.272
-38.765,67.454,156.271
-38.765,68.102,156.271
-38.765,68.750,156.254
-38.765,69.398,156.259
-38.765,70.046,156.267
-38.765,70.694,156.275
-38.765,71.343,156.282
-38.765,71.991,156.288
-38.765,72.639,156.284
-38.765,73.287,156.283
-38.765,73.935,156.285
-38.765,74.583,156.268
-38.765,75.231,156.268
-38.765,75.880,156.268
-38.765,76.528,156.270
-38.765,77.176,156.276
-38.765,77.824,156.256
-38.765,78.472,156.265
-38.765,79.120,156.273
-38.765,79.769,156.281
-38.765,80.417,156.287
-38.765,81.065,156.294
-38.765,81.713,156.280
-38.765,82.361,156.283
-38.765,83.009,156.264
-38.765,83.657,156.264
-38.765,84.306,156.264
-38.765,84.954,156.269
-38.765,85.602,156.275
-38.765,86.250,156.263
-38.765,86.898,156.262
-38.765,87.546,156.292
-38.765,88.194,156.279
-38.765,88.843,156.286
-38.765,89.491,156.293
-38.765,90.139,156.277
-38.765,90.787,156.276
-38.765,91.435,156.275
-38.765,92.083,156.260
-38.765,92.731,156.261
-38.765,93.380,156.268
-38.765,94.028,156.274
-38.765,94.676,156.281
-38.272,60.324,156.510
-38.272,60.972,156.513
-38.272,61.620,156.520
-38.272,62.269,156.527
-38.272,62.917,156.534
-38.272,63.565,156.512
-38.272,64.213,156.539
-38.272,64.861,156.530
-38.272,65.509,156.524
-38.272,66.157,156.524
-38.272,66.806,156.523
-38.272,67.454,156.522
-38.272,68.102,156.522
-38.272,68.750,156.506
-38.272,69.398,156.510
-38.272,70.046,156.518
-38.272,70.694,156.526
-38.272,71.343,156.533
-38.272,71.991,156.539
-38.272,72.639,156.536
-38.272,73.287,156.534
-38.272,73.935,156.519
-38.272,74.583,156.520
-38.272,75.231,156.520
-38.272,75.880,156.519
-38.272,76.528,156.521
-38.272,77.176,156.527
-38.272,77.824,156.507
-38.272,78.472,156.516
-38.272,79.120,156.524
-38.272,79.769,156.532
-38.272,80.417,156.538
-38.272,81.065,156.533
-38.272,81.713,156.532
-38.272,82.361,156.530
-38.272,83.009,156.516
-38.272,83.657,156.516
-38.272,84.306,156.516
-38.272,84.954,156.520
-38.272,85.602,156.526
-38.272,86.250,156.514
-38.272,86.898,156.513
-38.272,87.546,156.522
-38.272,88.194,156.530
-38.272,88.843,156.537
-38.272,89.491,156.529
-38.272,90.139,156.528
-38.272,90.787,156.527
-38.272,91.435,156.526
-38.272,92.083,156.512
-38.272,92.731,156.512
-38.272,93.380,156.518
-38.272,94.028,156.525
-38.272,94.676,156.532
-37.778,60.324,156.760
-37.778,60.972,156.762
-37.778,61.620,156.770
-37.778,62.269,156.777
-37.778,62.917,156.783
-37.778,63.565,156.762
-37.778,64.213,156.789
-37.778,64.861,156.780
-37.778,65.509,156.774
-37.778,66.157,156.774
-37.778,66.806,156.773
-37.778,67.454,156.773
-37.778,68.102,156.772
-37.778,68.750,156.756
-37.778,69.398,156.760
-37.778,70.046,156.768
